"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 11 17:56:16 GMT 2022","Fri Nov 11 17:56:23 GMT 2022","6613","","allure.IssueSearchTests","","allure.IssueSearchTests","lambdaStepSearchTestWithAttachment","lambdaStepSearchTestWithAttachment()",""
"passed","Fri Nov 11 17:56:24 GMT 2022","Fri Nov 11 17:56:26 GMT 2022","1755","","allure.IssueSearchTests","","allure.IssueSearchTests","annotatedSearchTestWithAttachment","annotatedSearchTestWithAttachment()",""
"passed","Fri Nov 11 17:56:23 GMT 2022","Fri Nov 11 17:56:24 GMT 2022","1312","","allure.IssueSearchTests","","allure.IssueSearchTests","selenideSearchTest","selenideSearchTest()",""
